ID,Requirement Name,Detailed Requirement,Category,Applicable Scope,Requested By,Priority,Business Value / Rationale,Acceptance Criteria,Current Assessment,SystemPrompt Fit,Gap / Action Required,Owner,Status,Validation Method,Documentation Reference,Notes,Ed's comments
REQ-001,Admin User Management,"Provide authorized administrators with the ability to manage SystemPrompt users directly from the Admin UI, including viewing/searching, creating, updating, disabling/deleting users, assigning roles, viewing last login, and revoking sessions.",Identity & Access,Enterprise / Core / Commerce,a.nagornyy@astounddigital.com,P0 – Critical,Centralized administration is required before SystemPrompt can move beyond a controlled evaluation environment.,"Admin can search/list users, create users, modify role/status, disable/delete access, review basic account activity, and revoke sessions without CLI or database access.",Partial,Backend/CLI capability appears available; Admin UI exposure needs validation.,Confirm current Admin UI capability and expose/enable existing user-management functions.,Ed / SystemPrompt,Open,Admin UI functional test + role-based access test,https://systemprompt.io/documentation/services/users ,Initial stakeholder requirement.,
REQ-002,Controlled User Registration,Prevent unrestricted self-registration. Only approved users should be eligible to create/use SystemPrompt accounts and connect a Bridge.,Security / IAM,Enterprise / Core / Commerce,a.nagornyy@astounddigital.com,P0 – Critical,Open registration is an enterprise access-control risk and must be hardened before broader rollout.,An unapproved user cannot create an account or connect a Bridge. Approved/provisioned users can access the platform based on assigned entitlements.,Requires configuration / validation,Authentication and role controls exist; enterprise enrolment policy is not clearly documented.,"Define and implement closed enrolment; confirm admin provisioning, allowlists, SSO/domain restrictions, or equivalent controls.","Ed / SystemPrompt, Astound",Open,Negative registration test + approved-user onboarding test,https://systemprompt.io/documentation/services/auth ,Current dev setup allows self-registration for testing.,
REQ-003,Usage Analytics Dashboard,"Provide an Admin dashboard showing SystemPrompt usage trends, request volumes, active users, and daily/weekly activity.",Analytics,Enterprise / Core / Commerce,a.nagornyy@astounddigital.com,P1 – High,"Required to understand platform adoption, operational usage, and overall utilization.","Dashboard shows daily/weekly requests, total request volume, active users, and historical usage trends with selectable time periods.",Partial / likely supported,"Analytics capability is documented, but required views are not visible in the current Astound deployment.",Confirm deployment/version/configuration and expose the documented analytics in the Admin UI.,Ed / SystemPrompt,Open,Admin dashboard review + API/CLI cross-check,https://systemprompt.io/documentation/services/analytics ,,
REQ-004,AI Cost & Model Analytics,"Provide visibility into total AI spend, daily cost trends, cost per request, request counters, and AI model usage distribution.",FinOps / Analytics,Enterprise / Core / Commerce,a.nagornyy@astounddigital.com,P1 – High,"Enables cost governance, model optimization, and identification of major cost drivers.","Admin can see total spend, spend trend, cost/request, token/request activity, and usage distribution by AI model.",Partial / likely supported,"Core request, token, model, and cost telemetry appears available.",Validate available fields and configure/build the required Admin dashboard visualizations.,Ed / SystemPrompt,Open,Compare dashboard totals with request/cost telemetry,https://systemprompt.io/documentation/services/analytics ,,
REQ-005,User Adoption & Utilization Analytics,"Provide user-level analytics including active seats/users, weekly active users, requests per user/day, top users, and users with zero requests over a configurable period such as 30 days.",Adoption Analytics,Enterprise / Core / Commerce,a.nagornyy@astounddigital.com,P1 – High,"Allows identification of adoption gaps, under-utilized access, and potentially wasted seats/capacity.","Admin can report WAU, requests/user/day, top users, and inactive users over a configurable period.",Partial,Underlying user-attributed request data appears available; some KPIs are likely derived rather than standard widgets.,Validate available reporting and add derived widgets/queries where required.,Ed / SystemPrompt,Open,User-level analytics reconciliation against raw request logs,https://systemprompt.io/documentation/services/analytics ,,
REQ-006,Organizational Analytics Drill-Down,"Allow usage, cost, and adoption analytics to be filtered and aggregated by team/group, individual user, Hub, and potentially project.",Enterprise Analytics,Enterprise / Core / Commerce,a.nagornyy@astounddigital.com,P1 – High,"Astound needs to compare usage and cost across Core, Commerce, projects, teams, and individual users.",Admin can filter and aggregate analytics by organizational dimension and drill down to user-level detail.,Gap / unclear,"User attribution exists, but an enterprise organizational hierarchy is not clearly documented.","Confirm native metadata dimensions; if missing, define Hub/project/team metadata and reporting model.","Ed / SystemPrompt, Astound",Open,Metadata model test + filtered analytics validation,https://systemprompt.io/documentation/services/gateway ,,
REQ-007,AI Development Productivity Metrics,"Track engineering-specific metrics such as AI suggestion/Tab acceptance rate, total AI accepts, AI-generated LOC versus manual LOC, and related development activity.",Engineering Analytics,Core / Commerce Engineering,a.nagornyy@astounddigital.com,P2 – Medium,Helps assess measurable engineering impact rather than AI consumption alone.,"Required productivity events can be captured, attributed to users/projects, trended over time, and compared with delivery outcomes.",Gap / requires investigation,IDE-level acceptance and AI-versus-manual LOC telemetry is not clearly documented as native gateway telemetry.,Confirm Bridge/IDE telemetry capabilities; otherwise define IDE/SCM telemetry integration.,"Ed / SystemPrompt, Engineeting",Open,IDE event capture test + repository attribution test,https://systemprompt.io/documentation/services/gateway ,"Tab acceptance benchmark requested by stakeholder should be treated as a metric target, not a native SystemPrompt capability.",
REQ-008,Commit Activity Analytics,Provide daily/weekly commit activity alongside AI usage to support correlation between AI consumption and engineering activity.,Engineering Analytics,Core / Commerce Engineering,a.nagornyy@astounddigital.com,P2 – Medium,Provides contextual engineering activity data when assessing AI adoption and productivity.,Commit activity can be viewed for the same user/team/project/time period as SystemPrompt AI usage.,Not native / integration likely,Commit data originates from Git/SCM systems rather than the AI gateway.,Integrate GitHub/Bitbucket/Git telemetry or ingest commit metrics into the analytics layer.,"Ed / SystemPrompt, Astound",Open,SCM integration test + identity matching validation,,"Commit count should be contextual, not used as a standalone productivity KPI.",
REQ-009,Spend Limits & Budget Monitoring,Display proximity to defined soft/hard AI spend limits and support monitoring and alerting for budget consumption.,FinOps / Governance,Enterprise / Core / Commerce,a.nagornyy@astounddigital.com,P1 – High,Prevents uncontrolled AI spend and supports predictable enterprise financial governance.,"Admin can see current spend versus budget, threshold utilization, and alerts/actions when configured limits are reached.",Partial,Budget/alert foundations appear available; required scope and granularity need validation.,Validate global versus user/team/project thresholds and define any missing budget-control model.,"Ed / SystemPrompt, Astound",Open,Threshold alert test + spend-limit enforcement test,https://systemprompt.io/documentation/services/analytics ,,
REQ-010,Real-Time AI Spend Attribution,"As a Business, I shall be able to track AI spend per team, department, product or project in real time for billing accuracy, so that cost is attributed to the correct P&L owner",FinOps / Governance,Global / Enterprise,Oleksandr Manatskyi,P1 – High,Cost is attributed to the correct P&L owner.,"For each AI request, cost can be attributed and reported in near real time by an agreed organizational dimension such as team, department, product, project, user, model, and provider.",Supported with metadata caveat,"Request/audit data includes user, tenant, model, provider, and cost. Team/department/project attribution requires a reliable custom metadata convention because department is not first-class in current code.",Define required organizational metadata (team/department/product/project) and validate cost attribution end to end.,"Ed / SystemPrompt, Astound",Open,Cost attribution query + organizational metadata reconciliation,https://systemprompt.io/documentation,,
