ID,Requirement Name,Detailed Requirement,Category,Applicable Scope,Requested By,Priority,Business Value / Rationale,Acceptance Criteria,Current Assessment,SystemPrompt Fit,Gap / Action Required,Owner,Status,Validation Method,Documentation Reference,Notes,Ed's comments
REQ-001,Admin User Management,"Provide authorized administrators with the ability to manage SystemPrompt users directly from the Admin UI, including viewing/searching, creating, updating, disabling/deleting users, assigning roles, viewing last login, and revoking sessions.",Identity & Access,Enterprise / Core / Commerce,a.nagornyy@astounddigital.com,P0 – Critical,Centralized administration is required before SystemPrompt can move beyond a controlled evaluation environment.,"Admin can search/list users, create users, modify role/status, disable/delete access, review basic account activity, and revoke sessions without CLI or database access.",Partial,Backend/CLI capability appears available; Admin UI exposure needs validation.,Confirm current Admin UI capability and expose/enable existing user-management functions.,Ed / SystemPrompt,Open,Admin UI functional test + role-based access test,https://astound.systemprompt.io/documentation/enterprise-user-access,Initial stakeholder requirement. | Evidence: tagged Playwright specs + screenshot pack; replication commands on the docs page.,"Delivered - full user CRUD, roles, disable/delete, invites, session + PAT revocation, all from the Admin UI; three security defects fixed alongside. Please run acceptance testing against the live deployment."
REQ-002,Controlled User Registration,Prevent unrestricted self-registration. Only approved users should be eligible to create/use SystemPrompt accounts and connect a Bridge.,Security / IAM,Enterprise / Core / Commerce,a.nagornyy@astounddigital.com,P0 – Critical,Open registration is an enterprise access-control risk and must be hardened before broader rollout.,An unapproved user cannot create an account or connect a Bridge. Approved/provisioned users can access the platform based on assigned entitlements.,Requires configuration / validation,Authentication and role controls exist; enterprise enrolment policy is not clearly documented.,"Define and implement closed enrolment; confirm admin provisioning, allowlists, SSO/domain restrictions, or equivalent controls.","Ed / SystemPrompt, Astound",Open,Negative registration test + approved-user onboarding test,https://astound.systemprompt.io/documentation/enterprise-user-access,Current dev setup allows self-registration for testing. | Trade accepted per the requirement: every new user needs an admin invite. Open question: should Bridge device-link also need per-device admin approval?,"Delivered - all three self-registration doors are closed (core registration flag, passkey self-reg, SSO auto-provision); admin invite (single-use, 7-day TTL) is the only path in. Test: an unapproved address gets nowhere."
REQ-003,Usage Analytics Dashboard,"Provide an Admin dashboard showing SystemPrompt usage trends, request volumes, active users, and daily/weekly activity.",Analytics,Enterprise / Core / Commerce,a.nagornyy@astounddigital.com,P1 – High,"Required to understand platform adoption, operational usage, and overall utilization.","Dashboard shows daily/weekly requests, total request volume, active users, and historical usage trends with selectable time periods.",Partial / likely supported,"Analytics capability is documented, but required views are not visible in the current Astound deployment.",Confirm deployment/version/configuration and expose the documented analytics in the Admin UI.,Ed / SystemPrompt,Open,Admin dashboard review + API/CLI cross-check,https://astound.systemprompt.io/documentation/enterprise-analytics,Custom windows are capped at 30 days for query cost; tell us if quarter/year views are required.,"Delivered - 5-tab dashboard with daily/weekly series, active users, selectable windows (15m-30d + custom)."
REQ-004,AI Cost & Model Analytics,"Provide visibility into total AI spend, daily cost trends, cost per request, request counters, and AI model usage distribution.",FinOps / Analytics,Enterprise / Core / Commerce,a.nagornyy@astounddigital.com,P1 – High,"Enables cost governance, model optimization, and identification of major cost drivers.","Admin can see total spend, spend trend, cost/request, token/request activity, and usage distribution by AI model.",Partial / likely supported,"Core request, token, model, and cost telemetry appears available.",Validate available fields and configure/build the required Admin dashboard visualizations.,Ed / SystemPrompt,Open,Compare dashboard totals with request/cost telemetry,https://astound.systemprompt.io/documentation/enterprise-cost-management,Reconcile dashboard totals against the CLI (analytics costs summary) during acceptance.,"Delivered - total spend, daily trend, cost/request, tokens, model distribution, month-end P&L by org/provider/model. Costs are integer microdollars end to end."
REQ-005,User Adoption & Utilization Analytics,"Provide user-level analytics including active seats/users, weekly active users, requests per user/day, top users, and users with zero requests over a configurable period such as 30 days.",Adoption Analytics,Enterprise / Core / Commerce,a.nagornyy@astounddigital.com,P1 – High,"Allows identification of adoption gaps, under-utilized access, and potentially wasted seats/capacity.","Admin can report WAU, requests/user/day, top users, and inactive users over a configurable period.",Partial,Underlying user-attributed request data appears available; some KPIs are likely derived rather than standard widgets.,Validate available reporting and add derived widgets/queries where required.,Ed / SystemPrompt,Open,User-level analytics reconciliation against raw request logs,https://astound.systemprompt.io/documentation/enterprise-analytics,'Provisioned but never used' is now distinguishable from 'used on day one'.,"Delivered - WAU with deltas, requests/user/day, top-user leaderboard, inactive seats with a configurable window (7/14/30/90d picker)."
REQ-006,Organizational Analytics Drill-Down,"Allow usage, cost, and adoption analytics to be filtered and aggregated by team/group, individual user, Hub, and potentially project.",Enterprise Analytics,Enterprise / Core / Commerce,a.nagornyy@astounddigital.com,P1 – High,"Astound needs to compare usage and cost across Core, Commerce, projects, teams, and individual users.",Admin can filter and aggregate analytics by organizational dimension and drill down to user-level detail.,Gap / unclear,"User attribution exists, but an enterprise organizational hierarchy is not clearly documented.","Confirm native metadata dimensions; if missing, define Hub/project/team metadata and reporting model.","Ed / SystemPrompt, Astound",Open,Metadata model test + filtered analytics validation,https://astound.systemprompt.io/documentation/enterprise-analytics,"DECISION NEEDED (blocks this row plus 010/013/033 full scope): Ed has proposed Hub = geographic grouping, but we need Astound to STRONGLY DEFINE the hierarchy - what a Hub is, and concrete examples of teams and projects inside a Hub, expressed as a data structure we can model (does a user belong to one team or many? does a project grant access or is it only a reporting label? how do Hub/team/project nest under an organization?). Send 2-3 real examples from Core/Commerce and we will design the schema against them.","Partially delivered - org, department and individual-user drill-down work identically across every dashboard. Hub/team/project do not exist yet as dimensions."
REQ-007,AI Development Productivity Metrics,"Track engineering-specific metrics such as AI suggestion/Tab acceptance rate, total AI accepts, AI-generated LOC versus manual LOC, and related development activity.",Engineering Analytics,Core / Commerce Engineering,a.nagornyy@astounddigital.com,P2 – Medium,Helps assess measurable engineering impact rather than AI consumption alone.,"Required productivity events can be captured, attributed to users/projects, trended over time, and compared with delivery outcomes.",Gap / requires investigation,IDE-level acceptance and AI-versus-manual LOC telemetry is not clearly documented as native gateway telemetry.,Confirm Bridge/IDE telemetry capabilities; otherwise define IDE/SCM telemetry integration.,"Ed / SystemPrompt, Engineeting",Open,IDE event capture test + repository attribution test,https://astound.systemprompt.io/documentation/enterprise-analytics,"Tab acceptance benchmark requested by stakeholder should be treated as a metric target, not a native SystemPrompt capability. | Closing this properly needs an IDE-level integration on Astound's side. Related decision: which external platforms hold the activity you want correlated (IDE telemetry, SCM), and what API access we get to them.","Not feasible as specified on this platform: Claude Code emits no accept/reject signal, so tab-acceptance rate has no data source anywhere. What IS delivered: AI-authored lines added/removed, applied edit operations, permission-grant rate - all honestly labelled as proxies, never a synthetic 'AI vs manual' ratio."
REQ-008,Commit Activity Analytics,Provide daily/weekly commit activity alongside AI usage to support correlation between AI consumption and engineering activity.,Engineering Analytics,Core / Commerce Engineering,a.nagornyy@astounddigital.com,P2 – Medium,Provides contextual engineering activity data when assessing AI adoption and productivity.,Commit activity can be viewed for the same user/team/project/time period as SystemPrompt AI usage.,Not native / integration likely,Commit data originates from Git/SCM systems rather than the AI gateway.,Integrate GitHub/Bitbucket/Git telemetry or ingest commit metrics into the analytics layer.,"Ed / SystemPrompt, Astound",Open,SCM integration test + identity matching validation,https://astound.systemprompt.io/documentation/enterprise-analytics,"Commit count should be contextual, not used as a standalone productivity KPI. | DECISION NEEDED: name the authoritative SCM (GitHub? Bitbucket? GitLab?) and the identity mapping rule (SCM login / commit-author email -> platform user), plus API/webhook access. Ingest is ~1 week once decided; the identity mapping is the hard part and pairs with the IdP decision on REQ-023.","Partially delivered - commits made through Claude Code sessions are captured, deduped, rolled up daily and plotted beside AI usage over the same window/scope. Commits from plain terminals or CI are invisible."
REQ-009,Spend Limits & Budget Monitoring,Display proximity to defined soft/hard AI spend limits and support monitoring and alerting for budget consumption.,FinOps / Governance,Enterprise / Core / Commerce,a.nagornyy@astounddigital.com,P1 – High,Prevents uncontrolled AI spend and supports predictable enterprise financial governance.,"Admin can see current spend versus budget, threshold utilization, and alerts/actions when configured limits are reached.",Partial,Budget/alert foundations appear available; required scope and granularity need validation.,Validate global versus user/team/project thresholds and define any missing budget-control model.,"Ed / SystemPrompt, Astound",Open,Threshold alert test + spend-limit enforcement test,https://astound.systemprompt.io/documentation/enterprise-cost-management,Budgets are per-organization today; per-team/project scope awaits the Hub/team definition (REQ-006).,"Delivered and enforced, not display-only: hard org monthly cap (429 at the gateway with retry-after at month boundary), soft threshold recorded + Slack-alerted on first crossing, spend meters, burn-up chart, 12-month history."
REQ-010,Real-Time AI Spend Attribution,"As a Business, I shall be able to track AI spend per team, department, product or project in real time for billing accuracy, so that cost is attributed to the correct P&L owner",FinOps / Governance,Global / Enterprise,Oleksandr Manatskyi,P1 – High,Cost is attributed to the correct P&L owner.,"For each AI request, cost can be attributed and reported in near real time by an agreed organizational dimension such as team, department, product, project, user, model, and provider.",Supported with metadata caveat,"Request/audit data includes user, tenant, model, provider, and cost. Team/department/project attribution requires a reliable custom metadata convention because department is not first-class in current code.",Define required organizational metadata (team/department/product/project) and validate cost attribution end to end.,"Ed / SystemPrompt, Astound",Open,Cost attribution query + organizational metadata reconciliation,https://astound.systemprompt.io/documentation/enterprise-cost-management,Team/department-as-org-unit/product/project attribution = the same Hub/team data-structure decision as REQ-006.,"Delivered for the dimensions that exist: every request is attributed to user, organization, department, model, provider with cost, in near real time."
